#mu,eb,a_crit
0.240,0.13,0.392
0.160,0.43,0.248
0.170,0.65,0.135
0.080,0.73,0.118
0.100,0.14,0.437
0.220,0.72,0.102
0.120,0.58,0.178
0.030,0.66,0.190
0.210,0.50,0.204
0.130,0.80,0.081
0.150,0.21,0.401
0.200,0.28,0.335
0.110,0.36,0.313
0.240,0.14,0.391
0.160,0.44,0.247
0.050,0.07,0.547
0.060,0.29,0.376
0.190,0.06,0.474
0.070,0.51,0.237
0.020,0.44,0.326
0.010,0.22,0.520
0.170,0.66,0.131
0.120,0.59,0.170
0.220,0.73,0.099
0.100,0.15,0.436
0.080,0.74,0.115
0.001,0.00,0.809
0.210,0.51,0.198
0.240,0.15,0.388
0.150,0.22,0.396
0.160,0.45,0.246
0.200,0.29,0.328
0.140,0.00,0.523
0.070,0.52,0.236
0.110,0.37,0.311
0.060,0.30,0.372
0.050,0.08,0.541
0.190,0.07,0.469
0.030,0.67,0.190
0.010,0.23,0.512
0.220,0.74,0.095
0.020,0.45,0.325
0.170,0.67,0.128
0.120,0.60,0.169
0.100,0.16,0.436
0.150,0.23,0.361
0.160,0.46,0.228
0.080,0.75,0.109
0.210,0.52,0.192
0.200,0.30,0.314
0.240,0.16,0.387
0.140,0.01,0.516
0.110,0.38,0.310
0.070,0.53,0.235
0.190,0.08,0.465
0.001,0.01,0.802
0.060,0.31,0.370
0.050,0.09,0.538
0.220,0.75,0.090
0.120,0.61,0.166
0.170,0.68,0.124
0.160,0.47,0.228
0.020,0.46,0.323
0.210,0.53,0.191
0.030,0.68,0.168
0.150,0.24,0.355
0.100,0.17,0.435
0.010,0.24,0.506
0.110,0.39,0.281
0.140,0.02,0.515
0.070,0.54,0.219
0.240,0.17,0.384
0.200,0.31,0.303
0.080,0.76,0.109
0.060,0.32,0.368
0.220,0.76,0.088
0.210,0.54,0.183
0.160,0.48,0.226
0.020,0.47,0.319
0.190,0.09,0.463
0.170,0.69,0.118
0.050,0.10,0.532
0.001,0.02,0.791
0.120,0.62,0.165
0.150,0.25,0.354
0.070,0.55,0.219
0.100,0.18,0.430
0.110,0.40,0.280
0.030,0.69,0.160
0.240,0.18,0.382
0.140,0.03,0.514
0.200,0.32,0.299
0.210,0.55,0.179
0.010,0.25,0.501
0.220,0.77,0.084
0.160,0.49,0.218
0.080,0.77,0.102
0.060,0.33,0.364
0.190,0.10,0.426
0.020,0.48,0.317
0.170,0.70,0.117
0.070,0.56,0.205
0.110,0.41,0.279
0.240,0.19,0.381
0.150,0.26,0.351
0.100,0.19,0.426
0.120,0.63,0.164
0.210,0.56,0.178
0.050,0.11,0.523
0.200,0.33,0.297
0.160,0.50,0.211
0.220,0.78,0.080
0.030,0.70,0.154
0.140,0.04,0.512
0.060,0.34,0.363
0.010,0.26,0.493
0.190,0.11,0.420
0.070,0.57,0.205
0.080,0.78,0.098
0.001,0.03,0.760
0.170,0.71,0.113
0.240,0.20,0.358
0.020,0.49,0.291
0.210,0.57,0.170
0.110,0.42,0.278
0.150,0.27,0.350
0.160,0.51,0.210
0.100,0.20,0.421
0.220,0.79,0.076
0.200,0.34,0.297
0.120,0.64,0.163
0.140,0.05,0.506
0.060,0.35,0.361
0.190,0.12,0.408
0.210,0.58,0.166
0.050,0.12,0.515
0.030,0.71,0.152
0.010,0.27,0.479
0.240,0.21,0.354
0.080,0.79,0.090
0.160,0.52,0.198
0.110,0.43,0.277
0.070,0.58,0.204
0.100,0.21,0.419
0.020,0.50,0.290
0.170,0.72,0.108
0.220,0.80,0.072
0.150,0.28,0.348
0.210,0.59,0.162
0.120,0.65,0.141
0.190,0.13,0.407
0.001,0.04,0.759
0.140,0.06,0.496
0.200,0.35,0.294
0.060,0.36,0.356
0.240,0.22,0.355
0.160,0.53,0.194
0.070,0.59,0.192
0.050,0.13,0.511
0.110,0.44,0.274
0.080,0.80,0.088
0.100,0.22,0.415
0.210,0.60,0.154
0.030,0.72,0.142
0.150,0.29,0.346
0.020,0.51,0.286
0.010,0.28,0.466
0.170,0.73,0.103
0.230,0.00,0.483
0.060,0.37,0.324
0.140,0.07,0.492
0.160,0.54,0.192
0.120,0.66,0.141
0.200,0.36,0.282
0.190,0.14,0.406
0.240,0.23,0.342
0.110,0.45,0.254
0.070,0.60,0.192
0.001,0.05,0.754
0.050,0.14,0.508
0.150,0.30,0.344
0.100,0.23,0.413
0.090,0.00,0.554
0.210,0.61,0.152
0.020,0.52,0.285
0.170,0.74,0.100
0.230,0.01,0.478
0.160,0.55,0.184
0.060,0.38,0.322
