#mu,eb,a_crit
0.160,0.68,0.090
0.160,0.69,0.087
0.120,0.51,0.161
0.080,0.34,0.259
0.160,0.70,0.084
0.160,0.71,0.081
0.210,0.04,0.346
0.120,0.52,0.161
0.160,0.72,0.078
0.040,0.17,0.412
0.160,0.73,0.075
0.080,0.35,0.258
0.120,0.53,0.148
0.160,0.74,0.072
0.120,0.54,0.142
0.001,0.00,0.745
0.160,0.75,0.069
0.210,0.05,0.345
0.160,0.76,0.065
0.120,0.55,0.137
0.080,0.36,0.238
0.160,0.77,0.063
0.160,0.78,0.061
0.040,0.18,0.380
0.160,0.79,0.056
0.160,0.80,0.055
0.120,0.56,0.132
0.080,0.37,0.237
0.210,0.06,0.343
0.120,0.57,0.128
0.040,0.19,0.381
0.001,0.01,0.695
0.120,0.58,0.124
0.170,0.00,0.414
0.040,0.20,0.380
0.120,0.59,0.120
0.080,0.38,0.237
0.001,0.02,0.682
0.210,0.07,0.343
0.120,0.60,0.118
0.170,0.01,0.401
0.040,0.21,0.380
0.080,0.39,0.236
0.120,0.61,0.115
0.120,0.62,0.111
0.210,0.08,0.337
0.120,0.63,0.107
0.080,0.40,0.220
0.040,0.22,0.378
0.001,0.03,0.680
0.120,0.64,0.106
0.170,0.02,0.372
0.120,0.65,0.102
0.210,0.09,0.303
0.080,0.41,0.220
0.120,0.66,0.098
0.120,0.67,0.095
0.080,0.42,0.219
0.040,0.23,0.373
0.170,0.03,0.357
0.120,0.68,0.092
0.001,0.04,0.677
0.210,0.10,0.303
0.120,0.69,0.088
0.080,0.43,0.218
0.120,0.70,0.085
0.170,0.04,0.355
0.040,0.24,0.371
0.210,0.11,0.302
0.120,0.71,0.082
0.080,0.44,0.205
0.120,0.72,0.080
0.120,0.73,0.076
0.080,0.45,0.205
0.210,0.12,0.302
0.001,0.05,0.668
0.040,0.25,0.352
0.120,0.74,0.073
0.170,0.05,0.354
0.120,0.75,0.070
0.080,0.46,0.203
0.120,0.76,0.067
0.210,0.13,0.302
0.120,0.77,0.065
0.170,0.06,0.353
0.080,0.47,0.192
0.120,0.78,0.061
0.210,0.14,0.302
0.040,0.26,0.351
0.120,0.79,0.058
0.001,0.06,0.666
0.120,0.80,0.055
0.080,0.48,0.192
0.170,0.07,0.352
0.210,0.15,0.301
0.040,0.27,0.327
0.080,0.49,0.191
0.130,0.00,0.423
0.210,0.16,0.301
0.170,0.08,0.351
0.080,0.50,0.181
0.040,0.28,0.327
0.001,0.07,0.666
0.080,0.51,0.181
0.130,0.01,0.422
0.210,0.17,0.270
0.170,0.09,0.350
0.080,0.52,0.172
0.040,0.29,0.325
0.080,0.53,0.164
0.130,0.02,0.417
0.001,0.08,0.663
0.210,0.18,0.270
0.040,0.30,0.325
0.080,0.54,0.164
0.170,0.10,0.343
0.130,0.03,0.408
0.080,0.55,0.150
0.210,0.19,0.270
0.040,0.31,0.322
0.130,0.04,0.364
0.080,0.56,0.150
0.170,0.11,0.309
0.001,0.09,0.661
0.210,0.20,0.270
0.080,0.57,0.150
0.040,0.32,0.323
0.080,0.58,0.139
0.170,0.12,0.309
0.130,0.05,0.363
0.210,0.21,0.269
0.040,0.33,0.291
0.080,0.59,0.122
0.001,0.10,0.657
0.170,0.13,0.309
0.210,0.22,0.269
0.080,0.60,0.122
0.130,0.06,0.362
0.040,0.34,0.290
0.170,0.14,0.309
0.080,0.61,0.116
0.210,0.23,0.245
0.130,0.07,0.362
0.040,0.35,0.289
0.001,0.11,0.654
0.080,0.62,0.111
0.210,0.24,0.245
0.170,0.15,0.309
0.080,0.63,0.109
0.040,0.36,0.289
0.170,0.16,0.308
0.130,0.08,0.360
0.210,0.25,0.245
0.080,0.64,0.107
0.040,0.37,0.288
0.210,0.26,0.244
0.080,0.65,0.102
0.130,0.09,0.360
0.170,0.17,0.307
0.001,0.12,0.653
0.080,0.66,0.100
0.210,0.27,0.243
0.040,0.38,0.263
