#mu,eb,a_crit
0.130,0.02,0.370
0.040,0.02,0.448
0.190,0.16,0.190
0.150,0.34,0.117
0.160,0.68,0.044
0.220,0.00,0.360
0.070,0.70,0.043
0.160,0.69,0.043
0.060,0.38,0.117
0.230,0.06,0.259
0.110,0.53,0.074
0.240,0.25,0.138
0.050,0.15,0.241
0.190,0.17,0.185
0.020,0.53,0.088
0.100,0.25,0.158
0.200,0.46,0.082
0.140,0.06,0.296
0.150,0.35,0.114
0.070,0.71,0.041
0.090,0.04,0.363
0.160,0.70,0.042
0.010,0.28,0.198
0.220,0.01,0.359
0.180,0.06,0.272
0.110,0.54,0.071
0.230,0.07,0.243
0.060,0.39,0.114
0.070,0.72,0.040
0.130,0.03,0.346
0.200,0.47,0.078
0.160,0.71,0.040
0.001,0.06,0.646
0.040,0.03,0.446
0.240,0.26,0.136
0.020,0.54,0.082
0.100,0.26,0.156
0.150,0.36,0.110
0.070,0.73,0.038
0.110,0.55,0.069
0.160,0.72,0.038
0.190,0.18,0.177
0.220,0.02,0.333
0.110,0.56,0.066
0.200,0.48,0.077
0.050,0.16,0.232
0.160,0.73,0.037
0.100,0.27,0.151
0.070,0.74,0.036
0.240,0.27,0.132
0.090,0.05,0.349
0.150,0.37,0.107
0.160,0.74,0.035
0.110,0.57,0.066
0.070,0.75,0.035
0.180,0.07,0.267
0.230,0.08,0.240
0.140,0.07,0.279
0.060,0.40,0.112
0.020,0.55,0.084
0.200,0.49,0.075
0.110,0.58,0.064
0.130,0.04,0.313
0.040,0.04,0.439
0.160,0.75,0.034
0.190,0.19,0.172
0.150,0.38,0.104
0.200,0.50,0.074
0.070,0.76,0.034
0.240,0.28,0.127
0.100,0.28,0.144
0.160,0.76,0.032
0.220,0.03,0.297
0.110,0.59,0.060
0.160,0.77,0.030
0.070,0.77,0.033
0.180,0.08,0.249
0.230,0.09,0.232
0.060,0.41,0.107
0.050,0.17,0.225
0.020,0.56,0.079
0.110,0.60,0.059
0.070,0.78,0.031
0.001,0.07,0.645
0.160,0.78,0.029
0.070,0.79,0.030
0.150,0.39,0.101
0.240,0.29,0.124
0.090,0.06,0.343
0.070,0.80,0.028
0.160,0.79,0.027
0.200,0.51,0.071
0.020,0.57,0.074
0.220,0.04,0.294
0.110,0.61,0.057
0.060,0.42,0.104
0.190,0.20,0.167
0.100,0.29,0.141
0.160,0.80,0.026
0.010,0.29,0.193
0.130,0.05,0.311
0.150,0.40,0.098
0.110,0.62,0.055
0.200,0.52,0.070
0.020,0.58,0.073
0.240,0.30,0.119
0.180,0.09,0.246
0.060,0.43,0.101
0.040,0.05,0.418
0.150,0.41,0.095
0.190,0.21,0.166
0.200,0.53,0.068
0.110,0.63,0.054
0.100,0.30,0.137
0.050,0.18,0.213
0.090,0.07,0.313
0.240,0.31,0.117
0.170,0.00,0.369
0.020,0.59,0.068
0.230,0.10,0.224
0.080,0.00,0.432
0.140,0.08,0.270
0.110,0.64,0.053
0.010,0.30,0.188
0.220,0.05,0.266
0.200,0.54,0.068
0.130,0.06,0.300
0.150,0.42,0.093
0.001,0.08,0.645
0.060,0.44,0.099
0.240,0.32,0.114
0.180,0.10,0.229
0.200,0.55,0.064
0.150,0.43,0.090
0.110,0.65,0.052
0.190,0.22,0.159
0.100,0.31,0.132
0.230,0.11,0.211
0.170,0.01,0.368
0.200,0.56,0.064
0.240,0.33,0.113
0.020,0.60,0.070
0.110,0.66,0.050
0.140,0.09,0.254
0.200,0.57,0.062
0.220,0.06,0.262
0.180,0.11,0.228
0.110,0.67,0.047
0.060,0.45,0.100
0.150,0.44,0.087
0.200,0.58,0.057
0.040,0.06,0.418
0.170,0.02,0.355
0.090,0.08,0.304
0.200,0.59,0.056
0.080,0.01,0.431
0.050,0.19,0.208
0.130,0.07,0.280
0.100,0.32,0.127
0.240,0.34,0.108
0.110,0.68,0.046
0.020,0.61,0.064
0.150,0.45,0.087
0.190,0.23,0.154
0.010,0.31,0.185
0.200,0.60,0.056
0.230,0.12,0.207
0.180,0.12,0.220
0.240,0.35,0.105
0.110,0.69,0.044
0.060,0.46,0.092
0.001,0.09,0.614
0.220,0.07,0.244
0.150,0.46,0.083
0.020,0.62,0.064
0.200,0.61,0.053
0.170,0.03,0.307
0.140,0.10,0.250
0.100,0.33,0.124
0.240,0.36,0.103
0.090,0.09,0.286
0.110,0.70,0.042
0.150,0.47,0.083
0.180,0.13,0.211
0.130,0.08,0.278
0.200,0.62,0.052
0.060,0.47,0.091
0.040,0.07,0.417
0.240,0.37,0.100
0.230,0.13,0.203
0.020,0.63,0.061
0.190,0.24,0.150
0.100,0.34,0.120
0.010,0.32,0.185
0.110,0.71,0.041
0.180,0.14,0.208
0.170,0.04,0.304
0.110,0.72,0.039
0.060,0.48,0.087
0.240,0.38,0.098
0.090,0.10,0.275
0.220,0.08,0.243
0.050,0.20,0.203
0.110,0.73,0.037
0.140,0.11,0.241
0.200,0.63,0.051
0.130,0.09,0.267
0.180,0.15,0.197
0.020,0.64,0.059
0.100,0.35,0.117
0.001,0.10,0.614
0.080,0.02,0.429
0.110,0.74,0.036
0.240,0.39,0.096
0.190,0.25,0.145
0.230,0.14,0.193
0.010,0.33,0.177
0.040,0.08,0.416
0.110,0.75,0.034
0.020,0.65,0.057
0.200,0.64,0.049
0.060,0.49,0.087
0.180,0.16,0.196
0.170,0.05,0.294
0.050,0.21,0.193
0.220,0.09,0.233
0.110,0.76,0.033
0.100,0.36,0.117
0.150,0.48,0.081
0.240,0.40,0.093
0.200,0.65,0.047
0.140,0.12,0.232
0.110,0.77,0.031
0.180,0.17,0.188
0.020,0.66,0.057
0.110,0.78,0.030
0.060,0.50,0.084
0.130,0.10,0.253
0.090,0.11,0.260
0.110,0.79,0.027
0.230,0.15,0.189
0.200,0.66,0.046
0.020,0.67,0.055
0.150,0.49,0.077
0.110,0.80,0.026
0.240,0.41,0.090
0.080,0.03,0.413
0.190,0.26,0.139
0.180,0.18,0.182
0.100,0.37,0.113
0.020,0.68,0.055
0.200,0.67,0.044
0.060,0.51,0.080
0.010,0.34,0.174
0.220,0.10,0.224
0.150,0.50,0.075
0.001,0.11,0.613
0.050,0.22,0.184
0.200,0.68,0.042
0.020,0.69,0.052
0.180,0.19,0.175
0.100,0.38,0.109
0.200,0.69,0.041
0.090,0.12,0.253
0.230,0.16,0.185
0.060,0.52,0.078
0.170,0.06,0.274
0.140,0.13,0.226
0.150,0.51,0.073
0.020,0.70,0.051
0.050,0.23,0.180
0.220,0.11,0.218
0.180,0.20,0.168
0.240,0.42,0.087
0.200,0.70,0.039
0.190,0.27,0.136
0.230,0.17,0.175
0.080,0.04,0.408
0.010,0.35,0.167
0.100,0.39,0.105
0.200,0.71,0.040
0.150,0.52,0.071
0.040,0.09,0.356
0.060,0.53,0.076
0.200,0.72,0.037
0.120,0.00,0.414
0.130,0.11,0.246
0.180,0.21,0.165
0.150,0.53,0.070
0.200,0.73,0.036
0.020,0.71,0.050
0.190,0.28,0.133
0.140,0.14,0.214
0.060,0.54,0.074
0.050,0.24,0.174
0.220,0.12,0.208
0.200,0.74,0.035
0.150,0.54,0.067
0.090,0.13,0.246
0.100,0.40,0.105
0.240,0.43,0.084
0.170,0.07,0.267
0.020,0.72,0.048
0.230,0.18,0.172
0.080,0.05,0.351
0.190,0.29,0.128
0.120,0.01,0.413
0.060,0.55,0.075
0.150,0.55,0.066
0.020,0.73,0.048
0.240,0.44,0.083
0.001,0.12,0.612
0.180,0.22,0.160
0.200,0.75,0.033
0.130,0.12,0.234
0.050,0.25,0.169
0.020,0.74,0.044
0.100,0.41,0.101
0.200,0.76,0.031
0.060,0.56,0.069
0.010,0.36,0.163
0.230,0.19,0.165
0.170,0.08,0.249
0.140,0.15,0.211
0.120,0.02,0.373
0.040,0.10,0.350
0.020,0.75,0.044
0.150,0.56,0.064
0.190,0.30,0.126
0.180,0.23,0.154
0.200,0.77,0.030
0.220,0.13,0.205
0.060,0.57,0.070
0.100,0.42,0.098
0.200,0.78,0.028
0.050,0.26,0.168
0.200,0.79,0.027
0.150,0.57,0.062
0.230,0.20,0.162
0.200,0.80,0.026
0.090,0.14,0.236
0.020,0.76,0.044
0.060,0.58,0.067
0.180,0.24,0.149
0.100,0.43,0.094
0.120,0.03,0.347
0.130,0.13,0.229
0.150,0.58,0.061
0.080,0.06,0.348
0.010,0.37,0.159
0.140,0.16,0.202
0.190,0.31,0.121
0.060,0.59,0.065
0.001,0.13,0.611
0.020,0.77,0.044
0.220,0.14,0.196
0.100,0.44,0.092
0.180,0.25,0.146
0.230,0.21,0.158
0.050,0.27,0.161
0.170,0.09,0.249
0.150,0.59,0.059
0.020,0.78,0.043
